"Table 1. Per Capita Personal Income by County, 2017 - 2019",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Motley,"29,381","30,749","32,988",236,4.7,7.3,23
Nacogdoches,"36,377","38,020","38,569",199,4.5,1.4,213
Navarro,"37,113","38,442","39,652",188,3.6,3.1,137
Newton,"31,924","33,294","34,265",231,4.3,2.9,162
Nolan,"41,313","43,890","46,066",96,6.2,5.0,51
Nueces,"42,516","43,414","44,889",114,2.1,3.4,110
Ochiltree,"56,470","58,696","60,862",25,3.9,3.7,91
Oldham,"54,947","55,661","55,479",42,1.3,-0.3,230
Orange,"43,067","44,685","45,663",101,3.8,2.2,196
Palo Pinto,"38,133","39,800","41,193",167,4.4,3.5,105
Panola,"41,003","45,660","45,467",105,11.4,-0.4,232
Parker,"51,708","54,172","55,811",40,4.8,3.0,155
Parmer,"46,767","45,349","49,541",72,-3.0,9.2,5
Pecos,"34,446","38,151","39,731",186,10.8,4.1,74
Polk,"38,498","39,292","39,818",184,2.1,1.3,218
Potter,"42,004","44,343","46,086",95,5.6,3.9,83
Presidio,"39,886","44,181","46,581",88,10.8,5.4,42
Rains,"33,641","33,976","34,819",229,1.0,2.5,185
Randall,"46,813","48,009","49,544",71,2.6,3.2,128
Reagan,"43,151","53,480","51,945",56,23.9,-2.9,245
Real,"33,588","35,040","36,070",221,4.3,2.9,159
Red River,"39,974","41,192","43,039",141,3.0,4.5,60
Reeves,"34,030","41,726","45,458",106,22.6,8.9,9
Refugio,"41,629","44,195","46,464",90,6.2,5.1,48
Roberts,"45,691","48,409","48,344",78,5.9,-0.1,229
Robertson,"39,483","41,267","42,463",145,4.5,2.9,165
Rockwall,"59,355","60,461","62,237",21,1.9,2.9,160
Runnels,"37,995","39,588","41,929",158,4.2,5.9,34
Rusk,"34,953","36,824","37,697",207,5.4,2.4,190
Sabine,"33,799","34,776","36,627",218,2.9,5.3,44
San Augustine,"36,583","39,413","42,299",148,7.7,7.3,21
San Jacinto,"33,626","34,853","36,260",220,3.6,4.0,78
San Patricio,"42,417","45,107","46,506",89,6.3,3.1,143
San Saba,"37,205","40,264","40,521",175,8.2,0.6,224
Schleicher,"36,297","40,554","42,255",150,11.7,4.2,72
Scurry,"40,996","43,085","42,915",142,5.1,-0.4,231
Shackelford,"108,047","112,335","113,163",2,4.0,0.7,223
Shelby,"39,850","42,441","41,767",159,6.5,-1.6,239
Sherman,"95,795","83,594","97,002",3,-12.7,16.0,1
Smith,"52,319","55,281","56,292",39,5.7,1.8,205
Somervell,"44,883","44,405","45,812",99,-1.1,3.2,133
Starr,"25,497","26,887","27,713",251,5.5,3.1,146
Stephens,"36,061","43,033","43,971",133,19.3,2.2,197
Sterling,"57,888","60,758","61,920",22,5.0,1.9,204
Stonewall,"58,468","60,573","58,541",35,3.6,-3.4,247
Sutton,"59,270","63,339","61,646",23,6.9,-2.7,243
Swisher,"51,025","50,966","51,779",57,-0.1,1.6,208
Tarrant,"49,366","51,554","53,292",51,4.4,3.4,115
Taylor,"42,931","45,767","47,793",80,6.6,4.4,64
Terrell,"46,455","46,667","49,591",70,0.5,6.3,29
Terry,"34,728","34,597","37,741",205,-0.4,9.1,7
Throckmorton,"34,589","38,202","41,454",163,10.4,8.5,12
Titus,"33,954","36,113","37,070",216,6.4,2.7,179
Tom Green,"43,802","47,431","48,876",74,8.3,3.0,150
Travis,"64,199","69,084","71,666",11,7.6,3.7,89
Trinity,"33,427","34,841","36,062",222,4.2,3.5,104
Tyler,"30,856","31,819","32,978",237,3.1,3.6,96
Upshur,"34,681","36,751","37,563",211,6.0,2.2,195
Upton,"42,436","44,565","47,118",83,5.0,5.7,37
Uvalde,"38,807","39,858","41,116",169,2.7,3.2,136
Val Verde,"34,687","36,337","38,331",200,4.8,5.5,40
Van Zandt,"36,906","38,310","39,609",190,3.8,3.4,111
Victoria,"44,341","46,994","48,938",73,6.0,4.1,75
Walker,"26,921","28,706","29,838",248,6.6,3.9,82
Waller,"38,669","41,123","42,456",146,6.3,3.2,125
Ward,"41,116","49,518","53,870",47,20.4,8.8,11
Washington,"49,771","54,054","55,735",41,8.6,3.1,142
Webb,"30,340","31,491","32,466",241,3.8,3.1,144
Wharton,"41,277","43,358","45,221",110,5.0,4.3,70
Wheeler,"40,893","43,288","44,309",127,5.9,2.4,191
Wichita,"41,451","42,904","44,479",121,3.5,3.7,92
Wilbarger,"41,832","45,287","46,314",92,8.3,2.3,194
Willacy,"25,300","27,463","27,584",252,8.5,0.4,226
Williamson,"48,588","50,773","53,145",52,4.5,4.7,58
Wilson,"42,683","45,044","46,448",91,5.5,3.1,140
Winkler,"47,359","59,141","63,667",17,24.9,7.7,19
Wise,"41,917","43,384","44,870",115,3.5,3.4,108
Wood,"37,219","38,398","39,803",185,3.2,3.7,93
Yoakum,"42,562","42,712","44,932",111,0.4,5.2,47
Young,"47,937","50,037","50,732",64,4.4,1.4,216
Zapata,"27,112","28,570","28,936",250,5.4,1.3,219
Zavala,"27,121","28,993","30,779",244,6.9,6.2,32
,,,,,,,
Utah,"44,178","47,008","48,939",--,6.4,4.1,--
Beaver,"33,293","36,524","40,889",14,9.7,12.0,1
Box Elder,"36,102","38,237","40,621",18,5.9,6.2,4
Cache,"37,662","40,325","41,811",12,7.1,3.7,19
Carbon,"36,062","39,307","40,679",17,9.0,3.5,21
Daggett,"40,423","42,920","47,753",7,6.2,11.3,2
Davis,"43,944","46,281","48,423",6,5.3,4.6,9
Duchesne,"35,610","36,171","37,869",23,1.6,4.7,8
Emery,"31,022","34,057","35,177",25,9.8,3.3,23
Garfield,"37,715","38,305","39,900",19,1.6,4.2,15
Grand,"51,182","56,312","59,196",3,10.0,5.1,6
Iron,"31,119","33,195","34,353",26,6.7,3.5,22
Juab,"33,999","38,148","39,103",20,12.2,2.5,24
Kane,"39,430","40,673","41,502",13,3.2,2.0,27
Millard,"34,591","36,451","38,336",22,5.4,5.2,5
Morgan,"49,457","53,457","55,967",4,8.1,4.7,7
Piute,"44,175","44,494","44,169",8,0.7,-0.7,29
Rich,"35,114","37,994","40,845",16,8.2,7.5,3
Salt Lake,"50,097","53,079","55,446",5,6.0,4.5,11
San Juan,"25,591","26,863","28,074",29,5.0,4.5,10
Sanpete,"27,956","29,906","30,592",28,7.0,2.3,25
Sevier,"33,057","36,126","37,558",24,9.3,4.0,16
Summit,"125,933","146,004","151,326",1,15.9,3.6,20
Tooele,"35,044","36,904","38,446",21,5.3,4.2,14
Uintah,"30,173","31,688","32,241",27,5.0,1.7,28
Utah,"38,878","41,269","42,995",10,6.2,4.2,13
Wasatch,"51,161","57,452","59,584",2,12.3,3.7,18
Washington,"37,043","40,053","40,886",15,8.1,2.1,26
Wayne,"38,074","40,894","42,426",11,7.4,3.7,17
Weber,"39,915","41,916","43,707",9,5.0,4.3,12
,,,,,,,
Vermont,"51,697","53,531","55,293",--,3.5,3.3,--
Addison,"49,534","51,247","52,966",8,3.5,3.4,9
Bennington,"51,356","53,604","55,870",5,4.4,4.2,5
Caledonia,"39,792","40,781","43,113",13,2.5,5.7,2
Chittenden,"58,179","60,302","61,858",1,3.6,2.6,12
Essex,"35,236","36,237","38,844",14,2.8,7.2,1
Franklin,"44,895","46,072","47,889",11,2.6,3.9,6
Grand Isle,"57,035","57,997","59,863",3,1.7,3.2,10
Lamoille,"50,993","53,501","54,761",6,4.9,2.4,13
Orange,"45,037","46,825","48,961",10,4.0,4.6,4
Orleans,"41,808","43,240","44,579",12,3.4,3.1,11
Rutland,"49,493","51,246","53,152",7,3.5,3.7,7
Washington,"57,487","59,415","60,368",2,3.4,1.6,14
Windham,"48,708","49,823","52,123",9,2.3,4.6,3
Windsor,"55,115","57,596","59,604",4,4.5,3.5,8
,,,,,,,
Virginia,"55,631","57,964","59,657",--,4.2,2.9,--
Accomack,"40,837","41,826","42,923",59,2.4,2.6,81
Amelia,"42,746","43,272","44,297",55,1.2,2.4,90
Amherst,"35,717","37,142","38,165",84,4.0,2.8,73
Appomattox,"36,907","38,217","39,268",77,3.5,2.8,74
Arlington,"91,685","96,881","99,407",2,5.7,2.6,83
Bath,"61,491","63,689","66,864",12,3.6,5.0,4
Bedford,"44,864","46,579","47,590",42,3.8,2.2,96
Bland,"35,988","36,956","38,126",85,2.7,3.2,48
Botetourt,"48,473","50,359","51,738",34,3.9,2.7,75
Brunswick,"31,775","32,347","33,784",99,1.8,4.4,9
Buchanan,"34,222","35,495","37,048",88,3.7,4.4,11
Buckingham,"29,155","30,076","30,966",105,3.2,3.0,60
Caroline,"40,757","41,569","42,977",58,2.0,3.4,35
Charles City,"44,383","45,264","46,976",43,2.0,3.8,19
Charlotte,"34,690","35,497","36,737",90,2.3,3.5,28
Chesterfield,"52,225","53,702","55,070",24,2.8,2.5,86
Clarke,"63,710","65,443","67,094",11,2.7,2.5,87
Craig,"36,942","38,183","39,087",79,3.4,2.4,91
Culpeper,"44,751","46,303","47,689",41,3.5,3.0,58
Cumberland,"37,139","37,723","39,094",78,1.6,3.6,22
Dickenson,"31,067","32,311","34,397",96,4.0,6.5,1
Essex,"40,740","41,761","43,041",57,2.5,3.1,55
Fauquier,"68,382","70,571","72,577",8,3.2,2.8,69
Floyd,"36,861","38,532","40,065",72,4.5,4.0,16
Fluvanna,"42,801","44,290","45,334",48,3.5,2.4,92
Franklin,"39,233","40,473","41,795",63,3.2,3.3,46
Giles,"38,325","39,681","41,179",69,3.5,3.8,20
Gloucester,"48,371","50,096","51,847",33,3.6,3.5,27
Goochland,"97,960","101,267","102,690",1,3.4,1.4,103
Grayson,"31,100","32,108","33,190",100,3.2,3.4,37
Greene,"42,622","45,136","46,529",45,5.9,3.1,53
Halifax,"35,524","36,658","38,414",83,3.2,4.8,5
Hanover,"58,652","60,189","61,832",14,2.6,2.7,77
Henrico,"64,545","66,777","68,639",9,3.5,2.8,71
Highland,"43,827","43,975","44,791",52,0.3,1.9,99
Isle of Wight,"53,220","55,554","57,645",20,4.4,3.8,21
King and Queen,"41,775","43,024","44,798",51,3.0,4.1,14
King George,"50,922","52,033","53,777",26,2.2,3.4,40
King William,"45,480","46,229","47,802",40,1.6,3.4,33
Lancaster,"58,294","59,356","61,447",15,1.8,3.5,26
Lee,"29,063","29,940","31,087",104,3.0,3.8,18
Loudoun,"75,312","78,762","80,914",5,4.6,2.7,76
Louisa,"41,195","42,439","42,723",61,3.0,0.7,104
Lunenburg,"32,065","32,944","33,996",98,2.7,3.2,47
Madison,"47,144","46,874","48,577",38,-0.6,3.6,23
Mathews,"54,372","56,258","57,844",19,3.5,2.8,70
Mecklenburg,"36,114","37,391","38,481",82,3.5,2.9,63
Middlesex,"49,835","51,214","53,553",28,2.8,4.6,7
Nelson,"48,581","49,831","51,297",35,2.6,2.9,62
New Kent,"69,142","73,502","75,221",7,6.3,2.3,93
Northampton,"46,991","48,989","51,101",36,4.3,4.3,12
Northumberland,"50,124","51,585","54,616",25,2.9,5.9,3
Nottoway,"33,992","34,766","36,295",92,2.3,4.4,10
Orange,"47,930","49,027","50,642",37,2.3,3.3,43
Page,"37,568","38,565","39,633",73,2.7,2.8,72
Patrick,"33,148","34,014","34,541",95,2.6,1.5,102
Powhatan,"55,011","57,177","58,609",18,3.9,2.5,88
Prince Edward,"31,059","31,329","32,416",102,0.9,3.5,29
Pulaski,"38,388","40,169","41,311",68,4.6,2.8,68
Rappahannock,"61,770","66,678","68,382",10,7.9,2.6,85
Richmond,"36,075","36,510","37,741",87,1.2,3.4,36
Russell,"32,358","33,641","34,827",93,4.0,3.5,25
Scott,"32,501","33,901","34,589",94,4.3,2.0,97
Shenandoah,"43,092","45,127","46,680",44,4.7,3.4,32
Smyth,"35,948","36,942","38,090",86,2.8,3.1,49
Stafford,"53,092","54,766","56,346",23,3.2,2.9,64
Surry,"43,200","44,477","44,647",53,3.0,0.4,105
Sussex,"30,035","30,962","32,383",103,3.1,4.6,6
Tazewell,"37,191","38,186","39,276",76,2.7,2.9,66
Warren,"45,035","46,392","47,932",39,3.0,3.3,41
Westmoreland,"42,464","44,001","45,782",46,3.6,4.0,15
Wythe,"34,461","35,474","36,695",91,2.9,3.4,31
Independent cities:,,,,,,,
Alexandria,"84,923","89,648","91,990",3,5.6,2.6,82
Chesapeake,"48,696","50,326","51,874",32,3.3,3.1,54
Hampton,"41,943","43,448","44,909",50,3.6,3.4,39
Newport News,"41,735","42,977","44,465",54,3.0,3.5,30
Norfolk,"40,284","41,479","42,875",60,3.0,3.4,38
Portsmouth,"39,535","41,144","42,605",62,4.1,3.6,24
Richmond,"54,467","55,272","56,560",21,1.5,2.3,94
Roanoke,"42,253","44,144","45,277",49,4.5,2.6,84
Suffolk,"50,013","51,979","53,740",27,3.9,3.4,34
Virginia Beach,"56,042","58,004","59,805",17,3.5,3.1,51
Combination areas2:,,,,,,,
Albemarle + Charlottesville,"71,785","76,342","77,657",6,6.3,1.7,101
Alleghany + Covington,"38,146","39,628","40,928",70,3.9,3.3,44
"Augusta, Staunton + Waynesboro","42,815","44,336","45,658",47,3.6,3.0,59
Campbell + Lynchburg,"36,529","37,826","38,565",81,3.6,2.0,98
Carroll + Galax,"34,721","35,843","36,812",89,3.2,2.7,79
"Dinwiddie, Colonial Heights + Petersburg","39,401","40,150","41,337",66,1.9,3.0,61
"Fairfax, Fairfax City + Falls Church","79,068","83,747","86,141",4,5.9,2.9,65
Frederick + Winchester,"49,051","50,774","52,317",30,3.5,3.0,56
Greensville + Emporia,"31,233","31,905","33,144",101,2.2,3.9,17
Henry + Martinsville,"37,827","39,258","40,545",71,3.8,3.3,45
James City + Williamsburg,"63,359","64,466","66,306",13,1.7,2.9,67
Montgomery + Radford,"36,125","37,730","38,756",80,4.4,2.7,78
Pittsylvania + Danville,"36,750","38,212","39,392",74,4.0,3.1,52
Prince George + Hopewell,"37,629","38,478","39,359",75,2.3,2.3,95
"Prince William, Manassas + Manassas Park","52,722","54,668","56,366",22,3.7,3.1,50
Roanoke + Salem,"50,460","52,120","53,489",29,3.3,2.6,80
"Rockbridge, Buena Vista + Lexington","39,045","39,978","41,794",64,2.4,4.5,8
Rockingham + Harrisonburg,"38,828","40,328","41,312",67,3.9,2.4,89
Southampton + Franklin,"40,584","41,734","44,215",56,2.8,5.9,2
Spotsylvania + Fredericksburg,"48,951","50,627","52,157",31,3.4,3.0,57
Washington + Bristol,"39,527","40,773","41,513",65,3.2,1.8,100
Wise + Norton,"31,532","32,799","34,196",97,4.0,4.3,13
York + Poquoson,"56,729","59,345","61,308",16,4.6,3.3,42
,,,,,,,
Washington,"58,437","62,209","64,758",--,6.5,4.1,--
Adams,"39,564","41,569","43,429",30,5.1,4.5,8
Asotin,"45,325","46,917","48,456",17,3.5,3.3,27
Benton,"46,076","47,682","49,354",16,3.5,3.5,21
Chelan,"52,180","54,584","56,253",7,4.6,3.1,31
Clallam,"44,050","46,281","47,856",20,5.1,3.4,24
Clark,"50,726","54,542","56,401",6,7.5,3.4,23
Columbia,"46,692","48,730","51,660",13,4.4,6.0,2
Cowlitz,"42,904","44,923","46,503",23,4.7,3.5,20
Douglas,"39,865","40,582","41,725",35,1.8,2.8,33
Ferry,"36,010","36,369","37,311",39,1.0,2.6,34
Franklin,"36,298","37,836","39,526",38,4.2,4.5,9
Garfield,"46,108","48,671","54,352",10,5.6,11.7,1
Grant,"39,031","39,731","41,141",36,1.8,3.5,18
Grays Harbor,"38,778","40,566","41,928",34,4.6,3.4,26
Island,"52,460","54,578","56,977",5,4.0,4.4,10
Jefferson,"50,094","53,631","55,447",8,7.1,3.4,25
King,"84,598","91,161","94,974",1,7.8,4.2,16
Kitsap,"52,819","56,297","58,874",3,6.6,4.6,7
Kittitas,"40,844","42,117","43,562",29,3.1,3.4,22
Klickitat,"46,780","48,883","49,458",15,4.5,1.2,38
Lewis,"40,483","42,695","44,569",25,5.5,4.4,11
Lincoln,"43,230","45,374","47,282",22,5.0,4.2,15
Mason,"40,617","42,124","43,966",28,3.7,4.4,12
Okanogan,"41,486","42,473","43,295",31,2.4,1.9,37
Pacific,"39,993","41,685","42,603",33,4.2,2.2,36
Pend Oreille,"39,914","42,747","44,461",27,7.1,4.0,17
Pierce,"48,832","51,192","53,572",11,4.8,4.6,6
San Juan,"73,075","81,024","81,351",2,10.9,0.4,39
Skagit,"49,436","52,072","54,505",9,5.3,4.7,5
Skamania,"43,471","46,011","47,461",21,5.8,3.2,30
Snohomish,"52,349","55,982","58,729",4,6.9,4.9,3
Spokane,"44,483","46,906","48,436",19,5.4,3.3,28
Stevens,"37,583","39,469","40,863",37,5.0,3.5,19
Thurston,"48,569","50,469","52,828",12,3.9,4.7,4
Wahkiakum,"41,134","43,144","44,522",26,4.9,3.2,29
Walla Walla,"43,979","46,429","48,444",18,5.6,4.3,13
Whatcom,"46,452","49,464","50,915",14,6.5,2.9,32
Whitman,"37,754","41,596","42,665",32,10.2,2.6,35
Yakima,"41,752","43,905","45,757",24,5.2,4.2,14
,,,,,,,
West Virginia,"38,927","41,192","42,315",--,5.8,2.7,--
Barbour,"30,543","32,519","33,599",43,6.5,3.3,22
Berkeley,"39,757","41,236","42,473",16,3.7,3.0,27
Boone,"32,142","34,859","35,615",35,8.5,2.2,43
Braxton,"30,319","31,885","32,816",45,5.2,2.9,28
Brooke,"39,996","42,362","43,882",10,5.9,3.6,15
Cabell,"40,467","43,250","44,177",8,6.9,2.1,45
Calhoun,"28,635","30,173","31,229",52,5.4,3.5,18
Clay,"29,486","31,313","32,197",48,6.2,2.8,32
Doddridge,"26,850","29,200","30,173",53,8.8,3.3,21
Fayette,"33,050","34,817","36,424",33,5.3,4.6,4
Gilmer,"27,777","28,799","29,672",54,3.7,3.0,26
Grant,"36,424","35,610","36,862",30,-2.2,3.5,17
Greenbrier,"36,499","37,910","38,842",24,3.9,2.5,38
Hampshire,"33,865","34,804","36,093",34,2.8,3.7,14
Hancock,"40,271","42,504","43,823",12,5.5,3.1,25
Hardy,"33,754","34,028","34,417",42,0.8,1.1,51
Harrison,"45,314","48,907","49,793",3,7.9,1.8,47
Jackson,"35,532","38,519","39,254",23,8.4,1.9,46
Jefferson,"47,948","49,924","51,527",2,4.1,3.2,23
Kanawha,"45,703","48,357","49,553",4,5.8,2.5,37
Lewis,"36,868","40,845","41,728",17,10.8,2.2,44
Lincoln,"28,979","31,028","31,997",50,7.1,3.1,24
Logan,"35,037","37,148","38,147",26,6.0,2.7,34
McDowell,"29,686","30,651","32,294",47,3.3,5.4,2
Marion,"40,725","42,388","43,522",13,4.1,2.7,35
Marshall,"38,375","42,447","42,595",15,10.6,0.3,54
Mason,"32,010","33,427","34,833",39,4.4,4.2,6
Mercer,"36,024","37,703","38,778",25,4.7,2.9,31
Mineral,"37,455","39,156","40,518",19,4.5,3.5,19
Mingo,"30,823","32,466","33,553",44,5.3,3.3,20
Monongalia,"43,198","45,490","46,630",6,5.3,2.5,36
Monroe,"30,099","30,919","32,189",49,2.7,4.1,8
Morgan,"33,366","34,256","35,536",36,2.7,3.7,13
Nicholas,"32,132","34,024","34,792",41,5.9,2.3,41
Ohio,"61,380","64,115","64,461",1,4.5,0.5,53
Pendleton,"35,985","36,048","36,491",32,0.2,1.2,50
Pleasants,"41,339","43,385","43,929",9,4.9,1.3,49
Pocahontas,"36,972","38,365","40,243",20,3.8,4.9,3
Preston,"34,659","36,117","37,595",28,4.2,4.1,9
Putnam,"44,204","46,782","47,849",5,5.8,2.3,40
Raleigh,"39,053","41,917","43,846",11,7.3,4.6,5
Randolph,"35,251","36,825","38,142",27,4.5,3.6,16
Ritchie,"35,446","38,230","39,828",22,7.9,4.2,7
Roane,"33,179","35,621","36,608",31,7.4,2.8,33
Summers,"32,206","33,616","34,933",38,4.4,3.9,11
Taylor,"38,290","40,674","41,663",18,6.2,2.4,39
Tucker,"40,473","41,856","43,069",14,3.4,2.9,29
Tyler,"35,737","38,387","39,863",21,7.4,3.8,12
Upshur,"31,360","33,366","35,420",37,6.4,6.2,1
Wayne,"31,844","33,831","34,811",40,6.2,2.9,30
Webster,"27,285","28,223","29,348",55,3.4,4.0,10
Wetzel,"33,432","37,293","36,874",29,11.5,-1.1,55
Wirt,"30,101","31,979","32,680",46,6.2,2.2,42
Wood,"39,816","44,044","44,754",7,10.6,1.6,48
Wyoming,"29,220","30,999","31,315",51,6.1,1.0,52
,,,,,,,
Wisconsin,"49,264","51,628","53,227",--,4.8,3.1,--
Adams,"37,841","38,816","40,841",70,2.6,5.2,4
Ashland,"38,924","40,345","42,007",67,3.7,4.1,18
Barron,"46,666","49,452","50,166",24,6.0,1.4,69
Bayfield,"45,748","49,079","50,750",21,7.3,3.4,31
Brown,"50,119","52,803","54,090",9,5.4,2.4,60
Buffalo,"43,644","45,957","47,630",36,5.3,3.6,26
Burnett,"41,465","43,548","45,023",54,5.0,3.4,33
Calumet,"48,839","51,013","52,859",13,4.5,3.6,27
Chippewa,"43,906","46,156","47,507",37,5.1,2.9,47
Clark,"39,105","41,119","43,135",60,5.2,4.9,7
Columbia,"48,747","51,112","53,423",11,4.9,4.5,10
Crawford,"40,622","41,619","43,124",61,2.5,3.6,28
Dane,"58,317","61,577","64,071",4,5.6,4.1,20
Dodge,"42,800","44,452","46,099",49,3.9,3.7,25
Door,"60,328","62,803","64,249",3,4.1,2.3,63
Douglas,"41,118","43,228","44,941",55,5.1,4.0,23
Dunn,"38,390","39,909","41,208",69,4.0,3.3,38
Eau Claire,"45,938","48,487","49,851",26,5.5,2.8,49
Florence,"51,091","52,455","53,310",12,2.7,1.6,68
Fond du Lac,"46,055","48,311","49,949",25,4.9,3.4,32
Forest,"39,514","40,984","42,663",63,3.7,4.1,19
Grant,"41,651","43,575","45,392",51,4.6,4.2,17
Green,"49,065","51,157","53,782",10,4.3,5.1,6
Green Lake,"44,310","45,128","46,260",47,1.8,2.5,57
Iowa,"45,759","47,826","50,309",22,4.5,5.2,5
Iron,"48,868","49,327","50,249",23,0.9,1.9,67
Jackson,"44,077","46,042","46,296",46,4.5,0.6,72
Jefferson,"44,017","45,786","47,152",40,4.0,3.0,46
Juneau,"36,774","38,186","39,218",71,3.8,2.7,55
Kenosha,"44,825","47,121","48,596",32,5.1,3.1,41
Kewaunee,"45,225","46,838","49,539",28,3.6,5.8,1
La Crosse,"47,872","50,257","51,813",17,5.0,3.1,44
Lafayette,"41,142","42,872","45,339",52,4.2,5.8,2
Langlade,"42,104","43,204","44,923",56,2.6,4.0,22
Lincoln,"43,870","45,644","47,135",41,4.0,3.3,37
Manitowoc,"45,810","47,040","48,502",33,2.7,3.1,43
Marathon,"47,984","50,509","52,141",15,5.3,3.2,39
Marinette,"42,105","44,564","45,906",50,5.8,3.0,45
Marquette,"39,304","40,739","42,513",66,3.7,4.4,16
Menominee,"29,384","30,175","30,977",72,2.7,2.7,56
Milwaukee,"45,356","47,910","49,098",31,5.6,2.5,58
Monroe,"40,659","41,475","42,974",62,2.0,3.6,29
Oconto,"43,623","45,589","47,104",43,4.5,3.3,35
Oneida,"49,315","50,772","52,014",16,3.0,2.4,59
Outagamie,"49,281","51,050","52,640",14,3.6,3.1,42
Ozaukee,"79,706","83,621","85,492",1,4.9,2.2,65
Pepin,"46,719","48,166","49,793",27,3.1,3.4,34
Pierce,"44,462","45,799","47,114",42,3.0,2.9,48
Polk,"45,050","46,376","47,856",35,2.9,3.2,40
Portage,"43,838","45,492","47,278",39,3.8,3.9,24
Price,"44,043","45,801","47,086",44,4.0,2.8,50
Racine,"47,418","49,710","50,845",20,4.8,2.3,64
Richland,"40,931","42,917","44,803",57,4.9,4.4,13
Rock,"42,212","44,295","46,236",48,4.9,4.4,14
Rusk,"42,662","44,233","44,556",58,3.7,0.7,71
St. Croix,"53,774","55,970","57,328",6,4.1,2.4,61
Sauk,"46,375","48,828","51,115",19,5.3,4.7,9
Sawyer,"43,913","45,197","47,360",38,2.9,4.8,8
Shawano,"41,024","42,349","44,196",59,3.2,4.4,15
Sheboygan,"50,830","53,263","54,703",8,4.8,2.7,54
Taylor,"38,707","39,623","41,858",68,2.4,5.6,3
Trempealeau,"42,735","44,606","45,218",53,4.4,1.4,70
Vernon,"39,076","40,936","42,578",64,4.8,4.0,21
Vilas,"51,771","53,679","54,734",7,3.7,2.0,66
Walworth,"47,789","49,821","51,196",18,4.3,2.8,52
Washburn,"45,700","47,335","49,456",29,3.6,4.5,11
Washington,"55,807","58,343","59,979",5,4.5,2.8,51
Waukesha,"68,972","72,176","73,873",2,4.6,2.4,62
Waupaca,"43,715","45,538","47,035",45,4.2,3.3,36
Waushara,"38,997","40,724","42,544",65,4.4,4.5,12
Winnebago,"46,047","47,974","49,276",30,4.2,2.7,53
Wood,"44,852","46,388","48,046",34,3.4,3.6,30
,,,,,,,
Wyoming,"56,524","60,689","62,189",--,7.4,2.5,--
Albany,"39,289","41,226","42,698",21,4.9,3.6,8
Big Horn,"36,208","38,198","39,318",23,5.5,2.9,12
Campbell,"49,894","53,564","55,348",9,7.4,3.3,11
Carbon,"53,502","57,459","59,665",5,7.4,3.8,5
Converse,"50,448","56,556","63,736",3,12.1,12.7,1
Crook,"44,414","47,027","47,966",16,5.9,2.0,16
Fremont,"42,096","45,535","47,071",17,8.2,3.4,10
Goshen,"40,138","42,791","43,725",20,6.6,2.2,15
Hot Springs,"49,025","54,424","57,101",8,11.0,4.9,3
Johnson,"48,600","53,839","54,476",11,10.8,1.2,21
Laramie,"49,695","52,655","54,113",12,6.0,2.8,14
Lincoln,"39,783","42,646","44,331",19,7.2,4.0,4
Natrona,"62,752","71,324","72,187",2,13.7,1.2,20
Niobrara,"47,765","51,653","52,484",14,8.1,1.6,18
Park,"51,731","57,494","58,386",6,11.1,1.6,19
Platte,"47,153","50,083","52,624",13,6.2,5.1,2
Sheridan,"54,536","58,622","59,666",4,7.5,1.8,17
Sublette,"50,360","55,337","54,850",10,9.9,-0.9,23
Sweetwater,"50,741","55,352","57,225",7,9.1,3.4,9
Teton,"227,436","230,141","229,825",1,1.2,-0.1,22
Uinta,"38,386","40,425","41,912",22,5.3,3.7,7
Washakie,"45,184","49,310","50,735",15,9.1,2.9,13
Weston,"42,483","44,940","46,655",18,5.8,3.8,6
1. Per capita personal income was computed using Census Bureau midyear population estimates. Estimates reflect county population estimates available as of March 2020.,,,,,,,
"2. Virginia combination areas consist of one or two independent cities with populations of less than 100,000 combined with an adjacent county. The county name appears first, followed by the city name(s). Separate estimates for the jurisdictions making up the combination areas are not available.",,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,,
